[level, door, next-level, x, y]
1	2	1	92	10
2	2	1	92	a0
3	2	1	0	0
4	2	1	0	0
5	2	6	c2	10
6	2	5	51	9c
7	2	6	80	a0
8	2	1	51	30
9	2	8	74	a0
10	2	9	47	a0
11	2	4	c4	a0
12	2	11	5a	a0
13	2	1	0	0
14	2	16	c3	10
15	2	1	0	0
16	2	14	c4	a0
17	2	1	0	0
18	2	16	93	a0
19	2	18	44	a0
20	2	1	0	0
1	3	1	0	0
2	3	6	32	2c
3	3	1	0	0
4	3	11	b0	10
5	3	8	32	1f
6	3	7	40	10
7	3	6	66	a0
8	3	9	46	f
9	3	10	53	10
10	3	9	c0	a0
11	3	12	c4	10
12	3	13	5c	10
13	3	12	be	34
14	3	1	0	0
15	3	12	be	50
16	3	18	b3	10
17	3	12	be	80
18	3	19	c6	10
19	3	20	96	10
20	3	1	0	0
1	4	1	0	0
2	4	1	62	a1
3	4	2	62	a1
4	4	3	c5	a1
5	4	1	0	0
6	4	7	74	10
7	4	3	51	16
8	4	9	c0	10
9	4	8	b5	a1
10	4	7	c7	9d
11	4	1	0	0
12	4	15	5e	10
13	4	15	be	10
14	4	1	0	0
15	4	13	be	a0
16	4	1	0	0
17	4	15	be	a0
18	4	1	0	0
19	4	1	0	0
20	4	1	0	0
1	5	2	62	f
2	5	3	62	10
3	5	4	c4	10
4	5	1	62	10
5	5	1	0	0
6	5	2	66	58
7	5	1	51	20
8	5	1	51	20
9	5	10	c6	f
10	5	1	0	0
11	5	1	0	0
12	5	17	5c	10
13	5	1	0	0
14	5	1	0	0
15	5	17	be	10
16	5	1	0	0
17	5	1	0	0
18	5	1	0	0
19	5	1	0	0
20	5	1	0	0
