[level, door, next-level, x, y]
1	2	2	10	92
2	2	1	a0	92
3	2	1	0	0
4	2	1	0	0
5	2	6	10	c2
6	2	5	9c	51
7	2	6	a0	80
8	2	1	30	51
9	2	8	a0	74
10	2	9	a0	47
11	2	4	a0	c4
12	2	11	a0	5a
13	2	1	0	0
14	2	16	10	c3
15	2	1	0	0
16	2	14	a0	c4
17	2	1	0	0
18	2	16	a0	93
19	2	18	a0	44
20	2	1	0	0
1	3	1	0	0
2	3	6	2c	32
3	3	1	0	0
4	3	11	10	b0
5	3	8	1f	32
6	3	7	10	40
7	3	6	a0	66
8	3	9	f	46
9	3	10	10	53
10	3	9	a0	c0
11	3	12	10	c4
12	3	13	10	5c
13	3	12	34	be
14	3	1	0	0
15	3	12	50	be
16	3	18	10	b3
17	3	12	80	be
18	3	19	10	c6
19	3	20	10	96
20	3	1	0	0
1	4	1	0	0
2	4	1	a1	62
3	4	2	a1	62
4	4	3	a1	c5
5	4	1	0	0
6	4	7	10	74
7	4	3	16	51
8	4	9	10	c0
9	4	8	a1	b5
10	4	7	9d	c7
11	4	1	0	0
12	4	15	10	5e
13	4	15	10	be
14	4	1	0	0
15	4	13	a0	be
16	4	1	0	0
17	4	15	a0	be
18	4	1	0	0
19	4	1	0	0
20	4	1	0	0
1	5	2	f	62
2	5	3	10	62
3	5	4	10	c4
4	5	1	10	62
5	5	1	0	0
6	5	2	58	66
7	5	1	20	51
8	5	1	20	51
9	5	10	f	c6
10	5	1	0	0
11	5	1	0	0
12	5	17	10	5c
13	5	1	0	0
14	5	1	0	0
15	5	17	10	be
16	5	1	0	0
17	5	1	0	0
18	5	1	0	0
19	5	1	0	0
20	5	1	0	0
